OverallRating,SentimentScore,count
8.9,0.6249,1
5.0,-0.1695,1
7.7,0.4404,2
3.0,0.0,14
1.1,-0.4767,2
2.9,-0.2732,1
3.9,-0.296,1
8.2,0.0,7
8.4,0.6249,1
4.0,-0.2755,2
1.5,-0.296,1
0.4,0.0,8
9.5,0.4939,1
7.7,-0.1531,1
7.3,0.4939,1
10.0,0.5719,8
1.6,-0.2263,1
7.8,0.4927,1
6.4,0.5719,1
1.3,-0.25,2
3.6,-0.296,1
5.4,-0.3182,1
9.2,-0.296,1
0.6,-0.4391,1
4.6,-0.4939,1
6.6,-0.4404,1
8.4,0.4404,7
1.9,-0.296,5
6.2,0.6124,1
0.2,0.0,12
7.7,0.3612,1
4.2,0.0,12
4.4,0.0,7
4.3,-0.296,1
4.6,0.5719,1
10.0,0.4767,1
2.7,-0.4404,1
5.3,0.4939,1
7.6,0.4215,2
4.1,-0.4767,1
7.8,0.4754,1
2.9,0.0,14
2.3,0.0,11
1.2,0.4404,1
1.5,-0.3089,1
1.2,-0.0258,1
1.2,0.3612,1
7.7,0.5563,1
5.1,0.0,7
0.5,-0.4767,1
1.8,0.3612,1
6.6,0.5719,1
4.0,-0.4019,1
2.8,-0.4767,4
0.9,-0.4939,1
3.2,-0.5423,2
9.9,0.4404,1
3.3,-0.4215,1
6.0,0.4404,1
1.0,-0.6249,3
10.0,0.0,26
0.4,-0.4767,2
3.1,-0.1027,1
7.5,-0.3182,1
3.6,0.0,15
7.0,0.0,14
8.0,0.5563,1
8.7,0.5719,2
2.3,-0.4215,1
5.2,-0.5859,1
8.4,0.4939,1
3.2,0.4588,1
9.8,0.0,6
8.7,0.4215,1
1.1,0.0,22
1.8,0.6369,1
9.8,0.2732,1
2.5,-0.3612,1
8.0,0.4404,4
0.3,0.0,12
0.1,0.0,14
6.3,0.4404,1
3.6,-0.4588,1
5.0,0.6249,1
0.6,-0.5106,1
0.5,-0.2023,1
4.5,0.0,7
8.1,0.4404,5
8.3,0.0,7
7.3,0.4767,1
8.9,0.5719,1
1.3,0.0,14
5.2,0.6369,1
4.7,-0.25,1
1.6,-0.3182,3
8.6,0.4588,1
7.7,0.4927,2
6.7,0.5106,1
9.5,0.5719,1
7.8,0.6249,1
1.1,-0.3612,2
6.8,0.0,8
9.6,0.6249,1
2.8,-0.25,1
5.8,-0.6249,1
5.1,-0.128,1
1.8,-0.3612,1
4.0,0.4404,1
5.1,-0.3182,1
9.2,0.6249,4
7.4,0.5719,2
7.2,0.4939,1
0.2,-0.4576,1
7.9,0.5563,1
7.8,0.4404,4
2.9,-0.4588,1
0.5,-0.25,1
5.4,0.4767,1
2.6,0.4588,1
9.0,0.5413,1
2.2,-0.4576,1
7.3,0.0,7
2.2,-0.4215,1
6.7,0.4215,1
1.6,0.5106,1
5.2,-0.4588,2
3.9,0.4404,1
0.3,-0.4939,1
8.6,0.4019,1
8.6,0.5574,3
6.3,0.4215,2
9.5,0.5106,1
2.8,0.0,6
0.9,0.0,9
5.5,0.0,8
6.1,0.4404,2
9.7,0.0,5
8.7,0.4588,1
9.0,0.5563,1
3.2,-0.5413,1
1.9,-0.4404,1
2.6,-0.3412,1
9.8,0.5106,1
2.3,-0.6249,1
1.2,-0.4404,1
7.6,0.5719,1
6.1,0.5719,1
9.8,0.5413,1
6.5,0.4588,1
1.7,0.6124,1
9.0,0.5574,1
7.1,-0.1027,1
4.9,0.4404,1
0.1,0.2263,1
6.6,0.4767,1
9.1,0.4588,1
7.1,0.4215,2
7.6,0.4939,1
9.2,0.0,5
0.4,-0.5423,2
6.4,-0.7269,1
3.1,-0.1531,1
1.3,-0.5106,1
7.5,0.4939,1
6.2,0.5859,1
9.1,0.0,4
2.0,0.296,1
6.3,0.5423,1
3.5,-0.4588,1
7.0,0.4588,1
9.9,0.6249,1
2.5,-0.4215,3
0.5,0.3612,1
3.9,-0.4767,1
4.3,-0.6597,1
2.1,-0.3612,1
5.0,-0.296,2
3.0,-0.4404,1
2.8,-0.5423,1
5.3,-0.1779,1
4.6,-0.25,1
2.1,-0.296,2
1.7,0.2023,1
10.0,0.4588,1
6.3,0.4927,1
2.2,-0.3612,1
6.8,0.5719,2
2.9,-0.2263,1
7.7,0.5719,3
3.1,-0.4767,2
8.8,0.5413,1
1.7,0.3612,1
6.6,0.4404,2
2.1,0.296,1
1.7,0.4215,1
7.4,0.6124,1
1.9,-0.6249,3
0.8,0.4019,1
7.5,0.0,7
10.0,0.3089,2
8.3,0.4939,1
3.2,-0.4939,1
5.3,0.3612,1
8.1,0.0,7
6.4,0.4404,1
5.7,-0.2732,1
3.7,-0.4201,1
1.8,-0.5256,1
3.5,-0.1695,1
9.0,0.0,5
6.3,-0.4391,1
0.6,-0.4767,2
9.3,0.0,3
0.2,0.3612,2
7.0,0.4404,2
1.4,-0.3182,1
5.0,0.0,4
1.7,-0.3182,1
1.9,-0.2732,1
8.1,0.4019,1
3.8,-0.3182,1
3.1,-0.5256,1
4.3,0.1512,1
4.5,-0.3412,1
9.7,0.5719,1
4.2,-0.4767,1
6.5,-0.296,1
5.4,-0.2263,1
1.6,-0.5106,1
5.3,-0.1695,1
2.4,0.6369,1
2.7,-0.7096,1
8.8,0.0,7
0.2,0.296,1
