OverallRating,ReviewHeader,TypeOfTraveller,SeatType,DateFlown,SeatComfort,CabinStaffService,GroundService,Aircraft,Food&Beverages,Departure,Destination
1.4,"""Check-in Desk rude and dismissive""",Family Leisure,Economy Class,Jul,2.0,3.0,1.0,A320-200,1.0,Rhodes,Gatwick
0.2,"""All in all, terrible""",Family Leisure,Economy Class,Jul,1.0,4.0,1.0,Boeing 777-200,1.0,Barcelona,London
3.3,"""pilot apologise at every step of the way""",Business,Economy Class,Jul,3.0,4.0,1.0,E190,3.0,Amsterdam,London
7.7,"""crew were always ready to top up drinks""",Couple Leisure,Business Class,Jun,3.0,5.0,5.0,A320,4.0,Dalaman,Gatwick 
1.5,"""The service is really mediocre""",Solo Leisure,Economy Class,Jun,2.0,2.0,3.0,Boeing 787,1.0,Seattle,Heathrow
3.0,"""made their economy experience so miserable""",Couple Leisure,Economy Class,Jun,1.0,1.0,1.0,A320,1.0,Gatwick,Dalaman 
8.4,"""another great experience""",Family Leisure,Business Class,Jun,4.0,5.0,4.0,A320,4.0,Newcastle,Heathrow
1.1,"""Not recommended"" ",Solo Leisure,Business Class,Jun,1.0,1.0,1.0,A380,1.0,London,Miami
2.5,"""5 hours and 30 mins but no meal""",Solo Leisure,Economy Class,Jul,3.0,1.0,4.0,A320 Neo,1.0,Amman,London
3.2,"""Things have really deteriorated""",Couple Leisure,Premium Economy,Jul,3.0,2.0,4.0,Boeing 777,1.0,Chennai,London
2.2,"""asked for an explanation but have received none""",Solo Leisure,Economy Class,Nov,2.0,5.0,1.0,Boeing 777,3.0,London,Edinburgh
4.9,"""short-changing passengers""",Family Leisure,Premium Economy,Jun,5.0,4.0,3.0,Boeing 777-200,4.0,Kingston,London
1.2,"""Economy is absolutely awful""",Couple Leisure,Economy Class,Jun,1.0,3.0,3.0,Boeing 777-200,1.0,Heathrow,Cape Town
2.8,"""no representative to help""",Business,Business Class,Jun,3.0,3.0,1.0,A380,3.0,Washington DC,London
3.0,"""Boarding was chaotic""",Couple Leisure,Economy Class,Jun,1.0,4.0,2.0,A321,1.0,Heathrow,Naples
9.8,"""In-line with competitors""",Solo Leisure,Economy Class,Jul,5.0,5.0,4.0,A320,3.0,Berlin,London
2.7,"""preferred to fly on easyJet""",Couple Leisure,Economy Class,Jun,1.0,1.0,2.0,A321 Neo,1.0,Cairo,London
0.1,"""stated it is not their fault""",Solo Leisure,Economy Class,May,3.0,3.0,1.0,Boeing 787-8,3.0,London,Madrid
0.1,"""The airline lost my luggage""",Solo Leisure,Economy Class,Jun,3.0,3.0,1.0,A380-800,3.0,New Orleans,London
2.0,"""no boarding drinks provided""",Solo Leisure,Business Class,Jun,1.0,1.0,1.0,A321 Neo,1.0,Heathrow,Bodrum
3.4,"""WiFi didn't work"" ",Solo Leisure,Economy Class,Jun,1.0,3.0,2.0,A321 Neo,1.0,Amman,London
6.5,"""stick with economy""",Family Leisure,Business Class,Jun,3.0,5.0,3.0,Embraer 190,3.0,London,Ibiza
1.6,"""Communication is terrible""",Couple Leisure,Economy Class,Jun,1.0,1.0,1.0,A321 Neo,1.0,London,Washington DC
0.6,"""delays and cancellations""",Business,Business Class,Jun,3.0,3.0,2.0,A350,3.0,Amsterdam,London
