Departure,Destination,count
Gatwick,Punta Cana,2
Heathrow,AUS,2
Gatwick,ALC,2
Mauritius,Gatwick,2
Heathrow,OTP,2
Gatwick,Bari,2
Doha,Heathrow,2
Accra,Heathrow,2
Bridgetown,London,2
Heathrow,PSA,2
London,Mexico City,2
Moscow,London,2
Gatwick,SVQ,2
Gatwick,San Jose Costa Rica,2
AGP,Gatwick,2
Kuwait,London,2
DBV,Gatwick,2
DUB,Heathrow,2
London,Toulouse,2
Heathrow,Tokyo Narita,2
Zurich,London,2
Heathrow,Santorini,2
Heathrow,Houston,2
Stockholm,London,2
NBO,Heathrow,2
London,Tenerife,2
London,Manchester,2
Heathrow,Paris,2
London,Copenhagen,2
Johannesburg,Heathrow,2
Dallas,Heathrow,2
London,Keflavik,2
Malaga,London,2
Warsaw,London,2
London,Jeddah,2
Kingston,London,2
Gatwick,MLA,2
BLR,Heathrow,2
Amsterdam,Gatwick,2
NAS,Heathrow,2
London,Buenos Aires,2
Heathrow,Lisbon,2
Heathrow,GIG,2
Cancun,Gatwick,2
Mexico City,Heathrow,2
London,Abu Dhabi,2
Heathrow,SVO,2
Marseille,Heathrow,2
Gatwick,Genoa,2
Heathrow,BUD,2
Heathrow,Nairobi,2
Heathrow,PRG,2
Larnaca,London,2
Beijing,Heathrow,2
Heathrow,Doha,2
San Jose,Gatwick,2
Heathrow,Tenerife South,2
Gatwick,St Lucia,2
Catania,Gatwick,2
Heathrow,Venice,2
London,Bengaluru,2
BSL,Heathrow,2
Grantley Adams,Gatwick,2
SSH,Gatwick,2
Baltimore,Heathrow,2
London,Johannesburg ,2
London,Berlin,2
Heathrow,DFW,2
PHX,Heathrow,2
London,Bucharest,2
Beijing,London,2
London,Cairo,2
Paris,Heathrow,2
London,Tokyo,2
Gatwick,Antigua,2
Heathrow,Basel,2
Lisbon,Heathrow,2
Leeds Bradford,Heathrow,2
Lyon,London,2
Heathrow,Dusseldorf,2
RAK,Gatwick,2
Heathrow,Tokyo,2
London,Ibiza,2
Gatwick,Paphos,2
Gatwick,DBV,2
Doha,London,2
Rio de Janeiro,London,2
Gatwick,Glasgow,2
Pisa,London,2
Gatwick,Mauritius ,2
Hamburg,Heathrow,2
Gatwick,Tenerife,2
London Heathrow ,Madrid,1
MAA,Heathrow,1
lgw,alicante,1
Heathrow,Ibiza,1
Gatwick,VCE,1
Heathrow,AGP,1
Gatwick,SZG,1
Bologna,London,1
Islamabad,London,1
Rome,Gatwick,1
Vancouver Canada,London,1
Bucharest,London,1
London,Mauritius,1
Paris,London,1
Heathrow,PVG,1
Heathrow,IAD ,1
Heathrow,Seychelles,1
London,Olbia,1
Barcelona,Gatwick,1
Gatwick,Bermuda,1
Gatwick,VLC,1
London,Atlanta,1
Barbados,Gatwick,1
Heathrow,Biarritz,1
LYS,Heathrow,1
Sofia,Heathrow,1
Heathrow,Bucharest,1
Los Angeles,London Heathrow ,1
Heathrow,Zakinthos,1
PVG,Heathrow,1
Santorini,Heathrow,1
Heathrow,Naples,1
ORY,Heathrow,1
Heathrow,Toulouse,1
Heathrow,Porto,1
IKA,Heathrow,1
Gatwick,MLE,1
Abu Dhabi,Muscat,1
Heathrow,Toronto ,1
London,Calgary,1
Gatwick,Gibraltar,1
Funchal,Heathrow,1
Gatwick,John F. Kennedy,1
iAH,Heathrow,1
London,san Francisco,1
Heathrow,Corfu ,1
London,Kuala lumpur,1
London,Milan ,1
Gatwick,Orlando ,1
OPO,Gatwick,1
Heathrow,MAA,1
Gatwick,NAP,1
Gatwick,Barcelona ,1
Brussels,Heathrow,1
Doha, Gatwick,1
London,Copenhagen ,1
YVR-LIS,Heathrow,1
London,RTM,1
Heathrow,Denver,1
TRN,Gatwick,1
Islamabad,Gatwick,1
Cape Town,Johannesburg,1
New York,Copenhagen ,1
St Petersburg,London,1
Edinburgh,Florence ,1
FCO,Heathrow,1
London,Muscat,1
Leeds,London,1
Hannover,Heathrow,1
London,San Francisco ,1
Philadelphia,Heathrow,1
Bordeaux,Gatwick,1
DUB,PHL,1
London,Rio de Janeiro,1
FCO,Gatwick,1
Heathrow,KGS,1
London,Turkey,1
Basel,Heathrow,1
Tokyo Haneda,London,1
IAH,Heathrow,1
London,Bombay,1
Gatwick,Bordeaux,1
Marrakech,Gatwick,1
CTU,Heathrow,1
Singapore, SYD,1
YYC,Heathrow,1
Jersey,London,1
Palma de Mallorca,Heathrow,1
London,Munich,1
Chicago,Barcelona,1
London,Paris Orly,1
Heathrow,Orlando,1
Heathrow,Tallinn,1
MRU,Heathrow,1
Gatwick,Antalya,1
London,Bergerac,1
CNX ,Suvarnabhumi,1
Heathrow,YUL,1
Heathrow,LUX,1
Pisa,Heathrow,1
Stuttgart,London,1
LHR - EDI,Heathrow,1
London,Faro,1
London,Helsinki,1
Sweden,London,1
Johannesburg,Victoria Falls,1
Gatwick,FCO,1
AUS,Heathrow,1
Tel Aviv,London LHR,1
Heathrow,Lahore,1
Heathrow,Bengaluru,1
Austin,Dublin,1
New York,Geneva,1
Heathrow,NCE,1
John F. Kennedy,London,1
Cape Town,Durban,1
Portland,London,1
Gatwick,AGP,1
FRA,London,1
Austin,London,1
Mykonos,London,1
Hyderabad,Heathrow,1
Nashville,Chicago,1
Warsaw,Heathrow,1
MEL,SYD,1
Gatwick,FAO,1
Gatwick,Montpelier,1
New York ,Heathrow,1
Toronto,Pisa London Heathrow,1
OUL,HEL,1
Dubai,London Heaathrow,1
London,Murcia ,1
Gatwick,Rome Fiumicino,1
Corfu,London,1
Heathrow,BSL,1
Gatwick,Tampa International,1
ZRH,London,1
London,Luanda,1
London,Shannon,1
Santorini,London,1
Johannesburg,Durban,1
VCE,Gatwick,1
Jersey,Gatwick,1
Venice,Heathrow,1
London,Seoul ,1
Abu Dhabi,Heathrow,1
